universal isomorphic javascript web app boilerplate,github
anatomy of a failure  lessons learned,techcrunch
as kubernetes hits 1.0  google donates technology to newly formed foundation,techcrunch
hp picks up lefthand networks for $360 million to boost storage and virtualization,techcrunch
a tiling window manager written in rust,github
spdy v2  v3  v3.1 and http2 transport implementation for node.js,github
trolling  haskell,github
node.js modules collection,github
hell no there will never be a techcrunch canada,techcrunch
keynesian economics won,nytimes
codecademy launches  labs   a web-based code editor,techcrunch
hangups  third party client for google hangouts,github
sky-edit  vim-like editor as a firefox extension,github
online payments platform braintree processing $8 million per day,techcrunch
usbkill anti forensic  usb   kill,github
nlp package for meteor,github
sorting and searching at the library,github
eiji toyoda  promoter of the toyota way and engineer of its growth  dies at 100,nytimes
sony s new xperia z3  is an iterative upgrade of its 2014 flagship smartphone,techcrunch
tadpole db hub,github
mote.js - spec-compliant  fast implementation of mustache templates.,github
facebook valuation back at a cool $70 billion on secondmarket,techcrunch
mongodb-d4  automated tool for generating database designs,github
simple notification api fallback,github
ex-nokians crowdfund a device to democratize the internet of things,techcrunch
nypl revises plan to remove most books,nytimes
show hn  redis to server-sent event bridge,github
font awesome more,github
facebook tries to silence lamebook  removes its page  blocks links and likes,techcrunch
owasp developer guide,github
steve jobs tells the world just what he thinks of flash,techcrunch
jquery gantt   draw stunning gantt charts with jquery easily,github
prototypal inheritance in c,github
facebook s darth vader grip on game publishers,techcrunch
ibm has acquired compose  y combinator startup ,techcrunch
to protect its empire  espn stays on offense,nytimes
computer network piecing together a jigsaw of jewish lore,nytimes
study explores electrical stimulation to aid memory,nytimes
3d printing with sand using the power of the sun,techcrunch
node.js v4.2.0 will be first lts release,github
distributed oracles system for crypto currency contracts. white paper.,github
pandora shares climb in debut,nytimes
mute ads on spotify,github
generate a readme.md from package.json contents,github
obama   it is unacceptable that the u.s. ranks 15th in the world in broadband adoption ,nytimes
verizon can no longer charge for tethering  fcc declares,techcrunch
monkey testing for web apps ,github
new site  jumps  into the application creation space,techcrunch
fast browser server-side js random uuid  rfc-4122 v4  generator,github
show hn  focus on the user  a.k.a. don t be evil  user script,github
reminder  apply to launch at techcrunch disrupt sf by this weekend,techcrunch
samsung announces android-powered tablet,techcrunch
fish oil claims not supported by research,nytimes
for today s graduate  just one word   statistics  2009 ,nytimes
bitcoin $645  yeah  that s totally reasonable,techcrunch
a disappearing spy  and a scandal inside the c.i.a.,nytimes
a simple load balancer presence manager for docker containers on top of etcd,github
twilio launches ip messaging  new conference calls and high-volume sms tools,techcrunch
corporate incubators popping up in europe,nytimes
a positioning engine to make overlays  tooltips and dropdowns faster,github
humankind s existentially lucky numbers,nytimes
yahoo publisher network to be axed  customers referred to chitika instead,techcrunch
china s rapid growth hits the brakes,nytimes
jspecs   js-dialect to express bdd style tests,github
python ternary search trie implemetation,github
buster - brute force static site generator for ghost,github
a song to make the ios 8.0.1 team feel better about breaking everyone s iphones,techcrunch
the damage of credit card rewards  2010 ,nytimes
grammar gaffe at google apps for students,techcrunch
fast and light to pluto,nytimes
the guest-host industrial complex  a.k.a.  evite sucks  ,nytimes
localstorage exploit on chrome  safari  ios and desktop   and ie,github
nsf-funded project aims to enable print-on-demand  customizable robots ,techcrunch
quora raises questions,nytimes
fly or die  tylt energi backpack,techcrunch
actifio raises $100m at $1.1b valuation,techcrunch
vc dollars dropped 33  for the 4th quarter,techcrunch
show hn  node-email-verification   verify user signup with node and mongodb,github
justin.tv shuts down to let the company focus on twitch,techcrunch
how errors should be handled in node.js,github
pasta geometries and their equations,nytimes
europe takes another look at net neutrality,nytimes
rumor twitter closed $15m round,techcrunch
craft   promise library written in swift for ios and os x,github
nest launches a camera,techcrunch
n.s.a. collecting millions of faces from web images,nytimes
open the github page for whatever project you re in ,github
sfnsenabler  use the hidden os x el capitan san francisco on other applications,github
easier react application instrumentation with react-i13n,github
jquery globalization,github
winklevoss twins aim to take bitcoin mainstream with a regulated exchange,nytimes
zpm espresso and the rage of the jilted crowdfunder,nytimes
digital domain - will piracy become a problem for e-books  ,nytimes
ruby meets spirituality ,github
y combinator s divvyshot launches dead simple group photo sharing,techcrunch
behind the warner bros. and netflix accord,nytimes
more than half of the forbes  30 under 30 in tech are y combinator alums,techcrunch
clancats framework  hmvc php framework,github
why startups should be .44 magnums,techcrunch
dropwizard - a damn simple library for building restful web services,github
calipso as application development framework,github
autojump  easily navigate directories from the command line,github
google fires a rare public salvo over aggregators,nytimes
free speech on twitter faces test,nytimes
netshare   share passwords strings locally in your network,github
f.a.a. may loosen curbs on fliers  use of electronics,nytimes
the defiant stand by yanis varoufakis in the e.u. economic negotiations,nytimes
beautiful transformable icons built for the web,github
a general theory of reactivity,github
martin knowlton  co-founder of elderhostel  is dead at 88,nytimes
quicklychat  yc s12  brings push-to-talk video to small  remote teams,techcrunch
an adaptive replacement cache  arc  written in javascript,github
fastly raises $75m for its real-time cdn,techcrunch
google ventures opens for business  investment scope covers just about anything.,techcrunch
